date,rank_ic,n,split
2008-01-02,-0.12084201690084488,363,discovery
2008-01-03,-0.16787653696438817,365,discovery
2008-01-04,-0.07365965611490656,365,discovery
2008-01-07,-0.11440802472581597,366,discovery
2008-01-08,-0.3296093023912495,364,discovery
2008-01-09,-0.3580838315906439,364,discovery
2008-01-10,-0.27205445321473354,364,discovery
2008-01-11,-0.38529143774690006,365,discovery
2008-01-14,-0.41995326147727324,365,discovery
2008-01-15,-0.2691575953506347,364,discovery
2008-01-16,-0.16957599484546573,366,discovery
2008-01-17,-0.2761891241789581,366,discovery
2008-01-18,-0.24902451101161094,364,discovery
2008-01-22,-0.09441386641224876,363,discovery
2008-01-23,-0.19890190526696022,366,discovery
2008-01-24,-0.25151629381384527,364,discovery
2008-01-25,-0.08419707691459871,365,discovery
2008-01-28,-0.07207842604994104,365,discovery
2008-01-29,-0.0926347927765643,365,discovery
2008-01-30,-0.05984284687029545,364,discovery
2008-01-31,0.14567389337093076,366,discovery
2008-02-01,0.11800086767692342,366,discovery
2008-02-04,0.14433762589315682,365,discovery
2008-02-05,0.24049256889751727,365,discovery
2008-02-06,0.31523089039620966,363,discovery
2008-02-07,0.15537908186255192,365,discovery
2008-02-08,0.09455977888697979,365,discovery
2008-02-11,0.07214221816414995,365,discovery
2008-02-12,0.038966246938440044,365,discovery
2008-02-13,-0.06416381547722798,364,discovery
2008-02-14,-0.08599605375459814,364,discovery
2008-02-15,-0.14511287008999937,365,discovery
2008-02-19,-0.16143751819490423,364,discovery
2008-02-20,0.002929328549155683,364,discovery
2008-02-21,0.017759008939546742,365,discovery
2008-02-22,0.06143042689622346,364,discovery
2008-02-25,0.09071338463957097,364,discovery
2008-02-26,0.2289461975056524,364,discovery
2008-02-27,0.1435036395748997,365,discovery
2008-02-28,0.045513393599436146,365,discovery
2008-02-29,0.0072636637896519585,365,discovery
2008-03-03,0.08367649871373337,365,discovery
2008-03-04,0.05681227279323379,366,discovery
2008-03-05,0.01335180137775852,365,discovery
2008-03-06,0.1403086151688124,366,discovery
2008-03-07,0.1695530233391589,365,discovery
2008-03-10,0.11155340584502198,365,discovery
2008-03-11,-0.07872107299082427,365,discovery
2008-03-12,-0.20295095790191603,366,discovery
2008-03-13,-0.22749460011889944,366,discovery
2008-03-14,-0.14829234396312813,366,discovery
2008-03-17,-0.05868420654899313,366,discovery
2008-03-18,0.002547642329829466,364,discovery
2008-03-19,0.21371644142634727,365,discovery
2008-03-20,0.1420146956302866,365,discovery
2008-03-24,-0.011503187230676688,365,discovery
2008-03-25,-0.1594415538881744,366,discovery
2008-03-26,-0.09572188815787383,366,discovery
2008-03-27,-0.08951305634726708,365,discovery
2008-03-28,-0.13915972089418266,365,discovery
2008-03-31,0.09167281118122893,366,discovery
2008-04-01,0.22868534721470218,366,discovery
2008-04-02,0.23297472376304837,365,discovery
2008-04-03,0.19302778103402343,365,discovery
2008-04-04,0.2559231793932952,366,discovery
2008-04-07,0.11786808497367553,366,discovery
2008-04-08,0.03983663296093452,365,discovery
2008-04-09,0.008961373072824842,365,discovery
2008-04-10,0.025198748835535478,365,discovery
2008-04-11,-0.025681446612682964,365,discovery
2008-04-14,0.12666503084912703,366,discovery
2008-04-15,0.12105317134093659,366,discovery
2008-04-16,0.09548080466819067,366,discovery
2008-04-17,0.05406446630841822,366,discovery
2008-04-18,-0.0756961760417737,366,discovery
2008-04-21,-0.20255508218837176,366,discovery
2008-04-22,-0.1408180067900778,368,discovery
2008-04-23,-0.20460962006214253,368,discovery
2008-04-24,-0.2165205020893861,368,discovery
2008-04-25,-0.11976988327795864,366,discovery
2008-04-28,0.017553153944667586,367,discovery
