metric,value
n_periods,35.0
annualization_rebalances_per_year,8.4
momentum_ann_return,0.07481794760842031
overlay_ann_return,0.08221146435819993
increment_ann_return_arithmetic,0.004952139188729303
momentum_period_sd,0.03625994960311708
overlay_period_sd,0.02894095211802733
momentum_ann_vol,0.10509131809932236
overlay_ann_vol,0.08387884810715265
momentum_sharpe,0.7402730583919542
overlay_sharpe,0.9865229735015892
sharpe_gap_overlay_minus_momentum,0.246249915109635
paired_return_diff_mean_per_period,0.0005895403796106313
paired_return_diff_t_stat,0.2483079845630265
corr_overlay_momentum,0.931519638775277
momentum_max_drawdown,-0.13825203588214785
overlay_max_drawdown,-0.07324214471732982
bootstrap_sharpe_gap_ci_2p5,-0.17400992429495138
bootstrap_sharpe_gap_ci_97p5,0.6275797753440195
bootstrap_prob_sharpe_gap_positive,0.8793
bootstrap_mean_diff_ci_2p5,-0.003849784527844195
bootstrap_mean_diff_ci_97p5,0.005367052248684868
