signal,horizon,split,mean_rank_ic,rank_ic_ir,rank_ic_ir_raw,t_stat_nonoverlap,n_dates,n_nonoverlap
ret_1d,1,discovery,-0.004239380463780963,-0.5967100801108933,-0.5967100801108933,-2.2320517410081115,3526,3526
ret_5d,1,discovery,-0.00793367248681076,-1.0295150644439377,-1.0295150644439377,-3.8510006260527456,3526,3526
mom_20d_skip_5d,1,discovery,-0.0042447222150810765,-0.5576862840984143,-0.5576862840984143,-2.0860794595086696,3526,3526
mom_60d_skip_20d,1,discovery,0.0025088093717995324,0.3037827424298282,0.3037827424298282,1.1363287160353475,3526,3526
mom_252d_skip_21d,1,discovery,0.0065792016628704215,0.5951704909187102,0.5951704909187102,2.226292759208256,3526,3526
vol_20d,1,discovery,-0.0071981891168208315,-0.6947886905559335,-0.6947886905559335,-2.5989242654526237,3526,3526
idio_vol_60d,1,discovery,-0.006962768446758292,-0.7869594488508025,-0.7869594488508025,-2.9436978972483816,3526,3526
beta_60d,1,discovery,-0.004932401590393456,-0.4298146890719035,-0.4298146890719035,-1.6077633966978877,3526,3526
amihud_20d,1,discovery,0.007870969591406072,1.128754176658089,1.128754176658089,4.2222141189353914,3526,3526
volume_z_20d,1,discovery,0.0017416926277091281,0.43484523626012656,0.43484523626012656,1.626580643810067,3526,3526
rsi_14d,1,discovery,-0.0045783468097933735,-0.6406949154970749,-0.6406949154970749,-2.396581269967496,3526,3526
sma_gap_20d,1,discovery,-0.008035196463037644,-0.9976903149938057,-0.9976903149938057,-3.731957074180588,3526,3526
ret_1d,1,test,-0.007283639874023954,-0.8235029437941928,-0.8235029437941928,-1.732217090679647,1115,1115
ret_5d,1,test,-0.004205531340304405,-0.44577397811668584,-0.44577397811668584,-0.9376740050586752,1115,1115
mom_20d_skip_5d,1,test,0.0014477747749481636,0.15771615369426517,0.15771615369426517,0.331751840071188,1115,1115
mom_60d_skip_20d,1,test,0.006985927996036971,0.6637513753256519,0.6637513753256519,1.3961838084587403,1115,1115
